StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form,Twitter use,AI understanding,Application,Experience,Moderation,Benefit to user,Fairness,Trust algorithm mod.,Human moderation,Race discr.,Sexual orient discr.,Gender discr.,Religion discr.,Effective moderation,AI acceleration,AI + human,Hate speech,Misinformation,Disinformation,Political spectrum_1,Minimum wage_1,Schooling_1,Immigrants_1,Helping needy_1,Country,State,Education,Gender,Gender_4_TEXT,Ethnicity,Income,Age
2024-03-19 07:24:11,2024-03-19 07:28:52,IP Address,100,280,True,2024-03-19 07:28:53,R_7yjWeVaBfUTEsJi,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per week,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Somewhat Disagree,Disagree,2,-5,-5,0,-4,United Kingdom of Great Britain and Northern Ireland,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"$150,000 or more",57
2024-03-19 10:05:12,2024-03-19 10:07:53,IP Address,100,161,True,2024-03-19 10:07:54,R_2B9XbJBBzNciIZr,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly disagree,Strongly Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,8,-1,3,-3,1,United Kingdom of Great Britain and Northern Ireland,,Master's degree,Female,,"White or Caucasian,Other","$75,000-$99,999",26
2024-03-20 04:20:15,2024-03-20 04:27:28,IP Address,100,432,True,2024-03-20 04:27:28,R_2SoVDgjlZar5ktz,anonymous,EN,0.699999988079071,,0,0,,"I consent, begin the study",A few times per year or less,Somewhat Agree,Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,3,-1,-5,-2,,Poland,,High school graduate (high school diploma or equivalent),Female,,White or Caucasian,"$50,000-$74,999",20
2024-03-20 05:10:29,2024-03-20 05:16:04,IP Address,100,334,True,2024-03-20 05:16:05,R_2DirM7AwDXDqy6u,anonymous,EN,0.6000000238418579,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat Disagree,Disagree,Disagree,9,3,-3,-1,1,Netherlands,,High school graduate (high school diploma or equivalent),Male,,"White or Caucasian,Other",Prefer not to say,21
2024-03-20 05:20:13,2024-03-20 05:20:36,IP Address,100,23,True,2024-03-20 05:20:36,R_7QtGv6LKUFVaYAg,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 05:16:05,2024-03-20 05:20:58,IP Address,100,292,True,2024-03-20 05:20:58,R_3OMIIP7b1oTBfmE,anonymous,EN,0.4000000059604645,,0,0,,"I consent, begin the study",A few times per year or less,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,0,-5,-5,-4,-5,Germany,,High school graduate (high school diploma or equivalent),Female,,White or Caucasian,"Less than $25,000",21
2024-03-20 05:47:09,2024-03-20 05:52:42,IP Address,100,332,True,2024-03-20 05:52:43,R_1Icr457I2acyTOy,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly Disagree,0,-5,-5,-3,-4,Germany,,Bachelor's degree (3 or 4-year),Female,,White or Caucasian,"Less than $25,000",27
2024-03-20 05:47:22,2024-03-20 05:53:03,IP Address,100,341,True,2024-03-20 05:53:04,R_5DjOnR9El85NBE0,anonymous,EN,1,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat agree,Somewhat Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,0,-5,-5,-5,-5,Germany,,High school graduate (high school diploma or equivalent),Non-binary / third gender,,White or Caucasian,"Less than $25,000",23
2024-03-20 05:53:25,2024-03-20 05:54:13,IP Address,100,47,True,2024-03-20 05:54:13,R_112RNlitfEV2o1z,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 05:52:33,2024-03-20 05:58:00,IP Address,100,327,True,2024-03-20 05:58:00,R_74Ak8Eb32fwhdL5,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per month,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat Disagree,Somewhat Agree,0,-5,-5,-4,-5,Germany,,Bachelor's degree (3 or 4-year),Non-binary / third gender,,White or Caucasian,"Less than $25,000",23
2024-03-20 06:28:16,2024-03-20 06:28:59,IP Address,100,42,True,2024-03-20 06:29:00,R_1zHFM3dCC2mB8Ct,anonymous,EN,0.800000011920929,,0,105,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 06:39:44,2024-03-20 06:41:08,IP Address,100,84,True,2024-03-20 06:41:09,R_231LrSK8OgBtlXF,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 06:44:32,2024-03-20 06:49:57,IP Address,100,325,True,2024-03-20 06:49:58,R_1NvUkbLBLw7SNvX,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per month,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat disagree,Somewhat Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,6,-2,-4,-1,2,Poland,,High school graduate (high school diploma or equivalent),Female,,White or Caucasian,Prefer not to say,20
2024-03-20 07:02:50,2024-03-20 07:03:38,IP Address,100,47,True,2024-03-20 07:03:38,R_8QERH0ihIJKjbSS,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 06:44:00,2024-03-20 07:13:40,IP Address,100,1780,True,2024-03-20 07:13:41,R_3NfACW4HehfJOne,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat disagree,Somewhat Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Somewhat Disagree,Disagree,,2,0,-5,0,Poland,,High school graduate (high school diploma or equivalent),Male,,White or Caucasian,"Less than $25,000",25
2024-03-20 07:34:37,2024-03-20 07:58:43,IP Address,100,1445,True,2024-03-20 07:58:44,R_7j9THpwsSympSNF,anonymous,EN,0.699999988079071,true,100,25,2024-03-20 11:13:55,"I consent, begin the study",Multiple times per day,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,3,-3,-4,-3,-1,Poland,,High school graduate (high school diploma or equivalent),Female,,White or Caucasian,"$50,000-$74,999",22
2024-03-20 08:58:56,2024-03-20 09:06:29,IP Address,100,452,True,2024-03-20 09:06:30,R_6zLSDZH1fwA54cc,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat disagree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Somewhat Disagree,Somewhat Agree,Disagree,3,-2,-5,-3,2,Poland,,High school graduate (high school diploma or equivalent),Male,,White or Caucasian,"$25,000-$49,999",22
2024-03-20 11:10:59,2024-03-20 11:15:14,IP Address,100,255,True,2024-03-20 11:15:15,R_1YkRP1xV11lASLp,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Disagree,Somewhat Agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly Disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,5,-2,-4,-1,-2,Canada,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"$25,000-$49,999",37
2024-03-20 04:16:33,2024-03-21 07:44:58,IP Address,100,98905,True,2024-03-21 07:44:59,R_3OVnikpTdHI2Cn1,anonymous,EN,1,,0,0,,"I consent, begin the study",A few times per week,Agree,Agree,Somewhat Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,5,0,0,-1,-1,Poland,,Master's degree,Male,,White or Caucasian,"$50,000-$74,999",50
2024-03-21 12:54:51,2024-03-21 13:08:10,IP Address,100,798,True,2024-03-21 13:08:11,R_5rioRDaAKwrAHpv,anonymous,EN,1,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,5,-1,-2,-3,-1,Poland,,Master's degree,Male,,White or Caucasian,"$150,000 or more",60
2024-03-22 01:09:57,2024-03-22 01:47:02,IP Address,100,2225,True,2024-03-22 01:47:02,R_22ECCiWPEMyJUvC,anonymous,EN,1,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 04:15:05,2024-03-22 04:21:05,IP Address,100,359,True,2024-03-22 04:21:05,R_2nO6tW9uD1Gm4ee,anonymous,EN,0.8999999761581421,,0,75,,"I consent, begin the study",A few times per month,Somewhat Agree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,1,-5,-5,-4,-3,Netherlands,,Master's degree,Female,,White or Caucasian,"$25,000-$49,999",27
2024-03-22 04:27:42,2024-03-22 04:31:34,IP Address,100,231,True,2024-03-22 04:31:35,R_1irsSE79lUR0om4,anonymous,EN,1,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat disagree,Somewhat Disagree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat Agree,Disagree,Neither agree nor disagree,2,-4,-5,-3,-4,United Kingdom of Great Britain and Northern Ireland,,Master's degree,Female,,White or Caucasian,"$25,000-$49,999",28
2024-03-22 04:51:19,2024-03-22 04:53:41,IP Address,100,142,True,2024-03-22 04:53:42,R_2Vb69hGY1Gapii5,anonymous,EN,1,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:12:59,2024-03-22 10:14:33,IP Address,100,94,True,2024-03-22 10:14:34,R_8SfvmMuw0AqBrHQ,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:05:53,2024-03-22 10:41:31,IP Address,100,2137,True,2024-03-22 10:41:31,R_5CPXm8kst4ZZDsv,anonymous,EN,0.8999999761581421,,0,75,,"I consent, begin the study",A few times per week,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,-5,-5,-5,-5,United States of America,California,Bachelor's degree (3 or 4-year),Prefer not to say,,White or Caucasian,"$100,000-$149,999",30
2024-03-22 12:02:16,2024-03-22 12:22:14,IP Address,100,1198,True,2024-03-22 12:22:15,R_53DxA9AYRUBlfA5,anonymous,EN,0.8999999761581421,,0,20,,"I consent, begin the study",Multiple times per day,Agree,Agree,Neither agree nor disagree,Agree,Somewhat Agree,Somewhat agree,Somewhat Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat Disagree,Disagree,Strongly Disagree,2,-2,-4,-4,-1,Netherlands,,Some tertiary education but no degree,Male,,Other,"$150,000 or more",20
2024-03-22 18:04:36,2024-03-22 18:05:34,IP Address,100,58,True,2024-03-22 18:05:35,R_2hLkUhaB7npxA2e,anonymous,EN,1,,0,5,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 18:06:26,2024-03-22 18:12:21,IP Address,100,355,True,2024-03-22 18:12:22,R_3z7QfTKTG9flFve,anonymous,EN,0.8999999761581421,true,90,10,2024-03-23 00:05:16,"I consent, begin the study",A few times per year or less,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,,Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,1,-5,-5,-4,-4,Netherlands,,Some tertiary education but no degree,Male,,White or Caucasian,"Less than $25,000",21
2024-03-23 09:40:00,2024-03-23 09:51:08,IP Address,100,667,True,2024-03-23 09:51:08,R_1IV28Yhpufm4Ar7,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Somewhat Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,1,-1,-5,0,0,Poland,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,Prefer not to say,22
2024-03-24 07:25:53,2024-03-24 07:31:48,IP Address,100,354,True,2024-03-24 07:31:49,R_4eWqIVjC7IkDDMq,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",Multiple times per day,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly Agree,Somewhat Agree,2,-2,-5,-2,,Netherlands,,Less than high school degree,Male,,"White or Caucasian,Asian","Less than $25,000",25
2024-03-24 07:29:47,2024-03-24 07:38:04,IP Address,100,496,True,2024-03-24 07:38:05,R_17fXnHbvClBbArs,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly disagree,Strongly Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Strongly Disagree,0,-5,-5,-5,-5,Netherlands,,Bachelor's degree (3 or 4-year),Non-binary / third gender,,White or Caucasian,Prefer not to say,27
2024-03-24 07:44:01,2024-03-24 07:44:48,IP Address,100,46,True,2024-03-24 07:44:49,R_4Es3uGt1MfD8PK8,anonymous,EN,0.8999999761581421,,0,85,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-24 07:44:07,2024-03-24 07:49:00,IP Address,100,292,True,2024-03-24 07:49:00,R_4rHdyVTBB2EnIMU,anonymous,EN,1,,0,0,,"I consent, begin the study",A few times per year or less,Agree,Agree,Agree,Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,3,-3,-5,-4,,United Kingdom of Great Britain and Northern Ireland,,Bachelor's degree (3 or 4-year),Female,,White or Caucasian,Prefer not to say,22
2024-03-24 07:52:16,2024-03-24 07:55:55,IP Address,100,218,True,2024-03-24 07:55:56,R_2LMTybrXFk1e8Qf,anonymous,EN,1,,0,0,,"I consent, begin the study",A few times per year or less,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree,,,,,,Agree,Strongly agree,Strongly Agree,Somewhat Agree,Agree,5,-2,-5,-5,0,Netherlands,,Master's degree,Male,,White or Caucasian,"Less than $25,000",24
2024-03-24 08:26:23,2024-03-24 08:26:52,IP Address,100,28,True,2024-03-24 08:26:52,R_2E4QI2idMv4q8gj,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-24 10:13:47,2024-03-24 10:21:42,IP Address,100,474,True,2024-03-24 10:21:42,R_2VrLNC6mZSILOox,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,7,2,-2,0,-2,Netherlands,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"$25,000-$49,999",28
2024-03-24 10:29:37,2024-03-24 10:33:12,IP Address,100,214,True,2024-03-24 10:33:12,R_8S0sM7xGcgKVCtH,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Somewhat Agree,Agree,8,-2,-4,5,1,United Kingdom of Great Britain and Northern Ireland,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"$50,000-$74,999",24
2024-03-24 10:53:58,2024-03-24 10:54:34,IP Address,100,36,True,2024-03-24 10:54:35,R_6C8ZRyAHz3JQLQt,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
