Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Fact assessment,Toxicity
3315,mostly-false,Newt Gingrich,"President Barack Obama ""has now spent three years proving that he kills jobs in energy, he kills jobs in manufacturing.""",12/5/2011,news,Louis Jacobson,12/6/2011,https://www.politifact.com/factchecks/2011/dec/06/newt-gingrich/newt-gingrich-says-barack-obama-has-killed-jobs-en/,false,1
14942,mostly-true,Greg Abbott,"""As compared to last year, Texas has about 15% more power generation capacity.""",2/3/2022,news,Nusaiba Mizan,4/4/2022,https://www.politifact.com/factchecks/2022/apr/04/greg-abbott/abbott-referred-installed-capacity-grid-not-power-/,No verdict,1
13792,true,Robert Gibbs,"Says Mitt Romney ""has a corporation in Bermuda (but) failed to disclose that on seven different financial disclosures.""",7/8/2012,news,Jon Greenberg,7/10/2012,https://www.politifact.com/factchecks/2012/jul/10/robert-gibbs/democrats-say-mitt-romney-failed-disclose-offshore/,No verdict,
18349,false,Bloggers,"Says Brett Kavanaugh’s mother presided over foreclosure case against Christine Blasey Ford’s parents, which fueled motivation for sexual assault accusation.",9/17/2018,blog,Kyra Haas,9/20/2018,https://www.politifact.com/factchecks/2018/sep/20/blog-posting/kavanaughs-mother-dismissed-foreclosure-case/,True,1
10866,pants-fire,Ed Schultz,"""Louisiana Sen. Mary Landrieu received almost $1.8 million from BP over the last decade.""",5/5/2010,television,Catharine Richert,5/14/2010,https://www.politifact.com/factchecks/2010/may/14/ed-schultz/schultz-claims-landrieu-got-18-million-bp-pac-and-/,no verdict,1
5617,true,Marcy Kaptur,"Electric utility FirstEnergy's annual revenues are greater ""than the GDP of Haiti, Kyrgyzstan, Iceland, or 15 African nations.""",10/25/2010,testimony,Sabrina Eaton,11/10/2010,https://www.politifact.com/factchecks/2010/nov/10/marcy-kaptur/rep-marcy-kaptur-chides-firstenergy-rate-plan-noti/,No verdict,1
18070,false,Viral image,Red Bull contains bull sperm.,8/25/2019,social_media,Ciara O'Rourke,10/3/2019,https://www.politifact.com/factchecks/2019/oct/03/viral-image/no-red-bull-doesnt-contain-bull-semen/,false,1
12307,mostly-true,Jim Whelan,"""United States of America is twenty-sixth in school performance in the world.""",1/9/2012,speech,Bill Wichert,2/3/2012,https://www.politifact.com/factchecks/2012/feb/03/jim-whelan/united-states-ranks-26th-school-performance-world-/,No verdict,1
20948,false,Public comments at a Common Core hearing,Teachers were not involved in developing the Common Core State Standards.,10/15/2013,other,Jeffrey S. Solochek,10/21/2013,https://www.politifact.com/factchecks/2013/oct/21/public-comments-common-core-hearing/teachers-were-not-involved-developing-common-core-/,False,
866,half-true,George LeMieux,"""(George) LeMieux never requested a single earmark and pushed to ban them all.""",5/10/2011,advertisement,Robert Farley,5/12/2011,https://www.politifact.com/factchecks/2011/may/12/george-lemieux/emigeorge-lemieux-claims-he-never-requested-single/,No verdict,1
7013,mostly-true,Peter Beinart,"""If you look at the states where soccer is most popular, they're overwhelmingly blue states, and the states where soccer is least popular are red states.""",7/6/2014,television,Derek Tsang,7/10/2014,https://www.politifact.com/factchecks/2014/jul/10/peter-beinart/soccer-blue-state-game/,No verdict,1
183,half-true,America's Health Insurance Plans,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",10/15/2009,advertisement,Louis Jacobson,10/16/2009,https://www.politifact.com/factchecks/2009/oct/16/americas-health-insurance-plans/health-insurers-group-says-medicare-advantage-bene/,No verdict,
2843,half-true,House Republican Conference,"""Nothing in any of the Democrat bills would require individuals to verify their citizenship or identity prior to receiving taxpayer-subsidized benefits.""",9/9/2009,news,Louis Jacobson,9/10/2009,https://www.politifact.com/factchecks/2009/sep/10/house-republicans/house-republicans-back-heckler-saying-health-bill-/,No verdict,1
15627,half-true,Bernie Sanders,"Says Democratic members of Congress who represent Cuban Americans in Florida and have been critical of Sanders ""just so happen to be supporting other candidates.""",2/24/2020,television,Amy Sherman,3/2/2020,https://www.politifact.com/factchecks/2020/mar/02/bernie-sanders/fact-checking-bernie-sanders-comments-about-florid/,No verdict,1
5042,mostly-false,Hillary Clinton,"Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairs health care system.",9/7/2016,meeting,C. Eugene Emery Jr.,9/7/2016,https://www.politifact.com/factchecks/2016/sep/08/hillary-clinton/hillary-clinton-says-donald-trump-supports-privati/,No verdict,1
10673,pants-fire,Viral image,"Says Hillary Clinton said, ""This planet might be able to support perhaps as many as half of a billion people who could live a sustainable life in relative comfort. Human populations must be greatly diminished, and as quickly as possible to limit further environmental damage.""",2/14/2019,social_media,Ciara O'Rourke,2/26/2019,https://www.politifact.com/factchecks/2019/feb/26/viral-image/no-hillary-clinton-didnt-advocate-reducing-human-p/,False,
12941,mostly-true,Daniel Harrop,"""We see a quarter-billion dollars in a pension fund that needs to be funded at $1.2 billion.""",12/15/2013,news,C. Eugene Emery Jr.,2/9/2014,https://www.politifact.com/factchecks/2014/feb/09/daniel-harrop/providence-mayoral-candidate-daniel-harrop-says-ci/,No verdict,1
300,mostly-true,Common Cause,"""Half of all NC legislative candidates are unopposed because of gerrymandering.""",7/19/2016,advertisement,Will Doran,8/9/2016,https://www.politifact.com/factchecks/2016/aug/09/common-cause/common-cause-video-says-half-all-nc-legislative-ra/,No verdict,1
12864,half-true,Rod Blum,"""If you’re getting your insurance through (your employer), nothing changes"" under Trumpcare.",5/8/2017,speech,Jon Greenberg,5/11/2017,https://www.politifact.com/factchecks/2017/may/11/rod-blum/iowa-gops-blum-gets-it-wrong-acha-effect-employer-/,False,
13808,false,Tweets,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,3/13/2022,social_media,Bill McCarthy,3/14/2022,https://www.politifact.com/factchecks/2022/mar/14/tweets/no-zelenskys-hospital-visit-video-doesnt-feature-c/,No verdict,1
8881,mostly-true,Duane Hall,"North Carolina could save ""literally tens of millions of dollars"" if it stopped prosecuting 16-year-olds as adults.",12/9/2016,speech,Will Doran,1/27/2017,https://www.politifact.com/factchecks/2017/jan/27/duane-hall/raise-age-could-juvenile-justice-reform-save-north/,No verdict,1
12967,mostly-true,Charles Schumer,"""The leading cause of death among children is a firearm.""",5/25/2022,speech,Jill Terreri Ramos,6/4/2022,https://www.politifact.com/factchecks/2022/jun/04/charles-schumer/among-children-firearms-leading-cause-death-2020/,False,1
2301,mostly-false,Joe Biden,"""You go to a gun show, you can buy whatever you want, and no background check.""",4/8/2021,speech,Louis Jacobson,4/8/2021,https://www.politifact.com/factchecks/2021/apr/08/joe-biden/gun-policy-address-joe-biden-was-wrong-about-backg/,False,1
19932,mostly-false,Kim Simac,"Says Democratic state Sen. Jim Holperin ""voted against a property tax freeze"" in 2009 and then voted for a ""$1.5 billion property tax hike.""",7/21/2011,statement,Dave Umhoefer,8/12/2011,https://www.politifact.com/factchecks/2011/aug/12/kim-simac/recall-challenger-kim-simac-says-state-sen-jim-hol/,No verdict,
10370,half-true,Lamar Alexander,"Says ""we are overcharging students . . . to help pay for the health care law.""",5/7/2012,speech,Bartholomew Sullivan,6/10/2012,https://www.politifact.com/factchecks/2012/jun/10/lamar-alexander/sen-lamar-alexander-says-students-overcharged-loan/,No verdict,1
2578,false,Mitt Romney,President Obama’s lawsuit claims it is unconstitutional for Ohio to allow servicemen and women extended early voting privileges during the state’s early voting period.,8/4/2012,statement,Sabrina Eaton,8/6/2012,https://www.politifact.com/factchecks/2012/aug/06/mitt-romney/mitt-romney-says-lawsuit-filed-president-obamas-ca/,false,1
14134,true,GSU Alumni Association,"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",1/13/2015,email,Nancy Badertscher,1/23/2015,https://www.politifact.com/factchecks/2015/jan/23/gsu-alumni-association/merger-will-produce-one-nations-largest-universiti/,True,1
15770,half-true,Emma Watson,"""More lives are lost from violence against women, sex-selective abortion, female infanticide, suicide, egregious maternal mortality, and other sex-linked causes than were lost during all of the wars and civil strife of the 20th century.""",2/24/2016,news,Linda Qiu,3/15/2016,https://www.politifact.com/factchecks/2016/mar/15/emma-watson/emma-watson-more-lives-are-lost-due-gender-discrim/,No verdict,1
13993,true,Tom Craddick,Says about 25 Texas cities and 39 states have banned texting while driving.,11/12/2012,news,W. Gardner Selby,11/21/2012,https://www.politifact.com/factchecks/2012/nov/21/tom-craddick/tom-craddick-says-39-states-and-about-25-texas-cit/,No verdict,1
1827,mostly-true,Ron Shipman,Says Georgia Power customers pay 10 percent to 15 percent below the national average for electricity.,6/10/2013,meeting,Eric Stirgus,6/24/2013,https://www.politifact.com/factchecks/2013/jun/24/ron-shipman/georgia-power-customers-pay-lower-rates-most-offic/,no verdict,1
13298,mostly-true,Doctors Without Borders,"Trade deals threaten ""India’s role as the pharmacy of the developing world"" for new HIV medicines.",7/21/2016,news,Jon Greenberg,8/3/2016,https://www.politifact.com/factchecks/2016/aug/03/doctors-without-borders/do-trade-deals-threaten-india-low-cost-hiv-drug-ma/,No verdict,1
6957,true,Melissa Johnson,"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",8/6/2015,news,Nancy Badertscher,9/2/2015,https://www.politifact.com/factchecks/2015/sep/02/melissa-johnson/report-accurate-about-georgias-low-diploma-rate/,No verdict,1
749,mostly-false,Greater Wisconsin Committee,"As a prosecutor, Wisconsin Supreme Court Justice David Prosser did not investigate or file charges in a case involving 30-year pedophile priest, then participated in cover-up.",3/24/2011,advertisement,Tom Kertscher,3/29/2011,https://www.politifact.com/factchecks/2011/mar/29/greater-wisconsin-political-fund/greater-wisconsin-committee-says-supreme-court-jus/,No verdict,1
13693,mostly-true,Jim Renacci,"The federal debt is more than $14 trillion, ""almost equal to the size of our entire economy,"" and ""every child born today inherits a $45,000 share of the national debt before they take their first breath.""",3/29/2011,social_media,Sabrina Eaton,5/5/2011,https://www.politifact.com/factchecks/2011/may/05/jim-renacci/rep-jim-renacci-says-each-child-born-45000-share-n/,No verdict,1
2385,pants-fire,Bloggers,"The military arrested ""bedridden Gavin Newsom.""",11/7/2021,blog,Gabrielle Settles,11/11/2021,https://www.politifact.com/factchecks/2021/nov/11/blog-posting/no-military-didnt-arrest-gov-gavin-newsom/,false,1
1289,pants-fire,Facebook posts,"""You must apply to get your second stimulus check! I’ve already filed for mine and will be receiving $2,000 a month for the rest of the year.""",7/14/2020,social_media,Ciara O'Rourke,7/16/2020,https://www.politifact.com/factchecks/2020/jul/16/facebook-posts/dont-fall-hoax-about-monthly-stimulus-checks/,False,1
14269,false,Jim DeMint,"""We've got more revenue than we ever have.""",6/26/2011,news,Louis Jacobson,6/28/2011,https://www.politifact.com/factchecks/2011/jun/28/jim-demint/jim-demint-says-federal-government-has-more-revenu/,No verdict,1
12021,half-true,Facebook posts,Says author J.K. Rowling was the first billionaire to fall off Forbes billionaire list because of charitable giving.,3/1/2019,social_media,Samantha Putterman,3/6/2019,https://www.politifact.com/factchecks/2019/mar/06/facebook-posts/yes-jk-rowling-was-knocked-forbes-billionaires-lis/,True,1
110,pants-fire,Donald Trump,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",1/26/2018,news,Jon Greenberg,1/29/2018,https://www.politifact.com/factchecks/2018/jan/29/donald-trump/trump-gets-polar-ice-trend-backwards/,False,1
5871,half-true,Bernie Sanders,"Says Bernie Sanders ""fundamentally changed the lives"" of Immokalee farm workers in Florida for the better.",3/19/2016,advertisement,Amy Sherman,4/5/2016,https://www.politifact.com/factchecks/2016/apr/05/bernie-sanders/did-bernie-sanders-fundamentally-improve-lives-tom/,No verdict,1
419,half-true,Bill Nelson,"The House Zika bill ""limits access to birth control services needed to help curb the spread of the virus"" in Puerto Rico.",6/23/2016,email,Jon Greenberg,6/28/2016,https://www.politifact.com/factchecks/2016/jun/28/bill-nelson/democrats-zika-impact-planned-parenthood-exclusion/,no verdict,1
4282,false,Donald Trump,"""We’re the most highly taxed nation in the world.""",8/24/2015,news,Louis Jacobson,8/28/2015,https://www.politifact.com/factchecks/2015/aug/28/donald-trump/donald-trump-says-us-most-highly-taxed-nation-worl/,False,1
8766,true,Pat Mullins,New provisions of the health care law bar the use of flexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,1/3/2011,statement,Wes Hester,1/7/2011,https://www.politifact.com/factchecks/2011/jan/07/pat-mullins/gop-chairman-mullins-says-health-care-bill-end-pre/,True,1
13504,mostly-false,Rick Scott,"""Your politicians in Tallahassee today are saying, in your area, that they don't need any more jobs. That is exactly what Rep. Paul Renner said.""",2/13/2017,other,Allison Graves,2/17/2017,https://www.politifact.com/factchecks/2017/feb/17/rick-scott/gov-rick-scott-paints-fellow-republicans-job-kille/,No verdict,1
13561,true,Ron Wyden,"""Between 1982 and 2007 the cost of a college education increased 439 percent.""",2/9/2012,news,Charles Pope,3/7/2012,https://www.politifact.com/factchecks/2012/mar/07/ron-wyden/ron-wyden-puts-number-soaring-cost-college-439-per/,No verdict,1
17320,pants-fire,Facebook posts,"Says Donald Trump will be re-inaugurated as president on March 4, 2021.",2/23/2021,social_media,Noah Y. Kim,3/3/2021,https://www.politifact.com/factchecks/2021/mar/03/facebook-posts/donald-trump-will-not-be-re-inaugurated-president-/,False,1
12552,false,Paul Ryan,"The fiscal cliff agreement was ""the largest tax increase in history.""",3/3/2013,news,Tom Kertscher,3/15/2013,https://www.politifact.com/factchecks/2013/mar/15/paul-ryan/largest-tax-hike-ever-fiscal-cliff-deal-paul-ryan-/,False,1
9949,false,Facebook posts,"""If you were forced to use a Sharpie"" to fill out your ballot, ""that is voter fraud.""",11/4/2020,social_media,Tom Kertscher,11/5/2020,https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/despite-sharpiegate-no-evidence-plot-use-pens-canc/,False,1
18890,false,Pete Hoekstra,"""Since ObamaCare and the stimulus passed, the unemployment rate in the U.S. has increased.""",2/5/2012,campaign,Louis Jacobson,2/6/2012,https://www.politifact.com/factchecks/2012/feb/06/pete-koekstra/debbie-spend-it-now-ad-pete-hoekstra-errs-unemploy/,False,1
12576,true,Barack Obama,"""By the time she turns 3 years old, a child born into a low-income home hears 30 million fewer words than a child from a well-off family.""",12/4/2013,speech,Julie Kliegman,12/5/2013,https://www.politifact.com/factchecks/2013/dec/05/barack-obama/obama-says-children-low-income-families-hear-30-mi/,true,1
19608,false,Mark Harris,"""In our debate, Dan McCready doubled down on his support for Pelosi’s liberal agenda of … impeaching our president.""",10/10/2018,social_media,Paul Specht,10/31/2018,https://www.politifact.com/factchecks/2018/oct/31/mark-harris-nc/dan-mccready-hasnt-said-hed-impeach-trump/,No verdict,1
13775,half-true,Rick Scott,"""For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.""",1/12/2016,speech,Amy Sherman,1/13/2016,https://www.politifact.com/factchecks/2016/jan/13/rick-scott/rick-scott-florida-completely-funded-critical-need/,No verdict,1
2459,true,Nancy Nathanson,"Says ""a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.""",4/4/2013,speech,Ian K. Kullgren,4/15/2013,https://www.politifact.com/factchecks/2013/apr/15/nancy-nathanson/would-pack-day-smoker-save-1650-year-if-they-quit-/,no verdict,1
13046,false,Linda McMahon,"As a Member of Congress, Chris Murphy ""was raking in $1 million in salary.""",10/11/2012,campaign,Louis Jacobson,10/19/2012,https://www.politifact.com/factchecks/2012/oct/19/linda-mcmahon/linda-mcmahon-says-opponent-chris-murphy-was-rakin/,False,1
15673,pants-fire,Your Action News 3,"""Legendary actor Kirk Douglas dead, 4 days before his 101st birthday.""",12/5/2017,news,Amy Sherman,3/5/2018,https://www.politifact.com/factchecks/2018/mar/05/your-action-news-3/fake-news-circulates-death-hoax-about-kirk-douglas/,False,1
1960,mostly-true,Marcy Kaptur,Says Lake Erie contains more native fish than all the other Great Lakes combined.,2/29/2012,speech,Sabrina Eaton,3/22/2012,https://www.politifact.com/factchecks/2012/mar/22/marcy-kaptur/rep-marcy-kaptur-says-lake-erie-has-more-native-fi/,False,1
17810,mostly-true,Don Beyer,"""... Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’""",5/2/2022,social_media,Warren Fiske,5/5/2022,https://www.politifact.com/factchecks/2022/may/05/don-beyer/yes-trump-justices-said-roe-v-wade-was-precedent-c/,True,1
12297,true,Rand Paul,"""(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasn’t using the proper server.""",7/26/2015,news,Linda Qiu,7/26/2015,https://www.politifact.com/factchecks/2015/jul/26/rand-paul/rand-paul-says-hillary-clinton-admonished-one-her-/,False,1
5256,false,Chain email,"""The Congressional Budget Office -- supposedly non-partisan -- estimates that in just a few years the average cost to every family of four (from cap and trade) will be $6,800 per year.""",11/24/2009,email,Catharine Richert,11/27/2009,https://www.politifact.com/factchecks/2009/nov/27/chain-email/6800-cap-and-trade-not-cbo-estimate/,false,1
19468,false,Jon Kyl,Says he did not say Republicans would filibuster immigration reform.,4/11/2010,news,Angie Drobnic Holan,4/12/2010,https://www.politifact.com/factchecks/2010/apr/12/jon-kyl/yuma-daily-newspaper-quoted-kyl-saying-republican/,no verdict,1
4641,false,Donald Trump,"The Senate seat won in a special election by a Democrat had been ""held for more than thirty years by Republicans.""",1/3/2018,statement,Louis Jacobson,1/3/2018,https://www.politifact.com/factchecks/2018/jan/03/donald-trump/donald-trump-wrong-about-length-time-gop-held-alab/,No verdict,1
13423,pants-fire,Facebook posts,"Says Donald Trump wrote in his book, ""Being an atheist gives me an edge in every deal. Christians are too moral for business.""",4/15/2019,social_media,Samantha Putterman,4/17/2019,https://www.politifact.com/factchecks/2019/apr/17/facebook-posts/no-donald-trump-did-not-say-art-deal-being-atheist/,False,1
17041,false,Donald Trump,"""When I say Mexico is going to pay for the wall, that's what I said. Mexico is going to pay. I didn't say they're going to write me a check for $20 billion or $10 billion.""",1/10/2019,other,Samantha Putterman,1/10/2019,https://www.politifact.com/factchecks/2019/jan/10/donald-trump/trump-claims-he-never-meant-mexico-would-write-che/,No verdict,1
1524,half-true,Bill Pascrell,Says Congressman Steve Rothman voted against funding for President Barack Obama’s auto bailout and would have let automakers go bankrupt.,3/19/2012,news,Bill Wichert,3/29/2012,https://www.politifact.com/factchecks/2012/mar/29/bill-pascrell/bill-pascrell-claims-steve-rothman-voted-against-f/,no verdict,1
15345,pants-fire,Chain email,"Starting in 2011, ""you will be required to pay taxes"" on ""the value of whatever health insurance you are given by the company.""",6/10/2010,email,Angie Drobnic Holan,6/10/2010,https://www.politifact.com/factchecks/2010/jun/10/chain-email/w-2-tax-forms-hr-3590-health-insurance-pay-taxes/,False,1
11195,false,Facebook posts,"""Finally, a judge has ruled Dominion voting machines were designed to create fraud.""",3/18/2021,social_media,Tom Kertscher,3/23/2021,https://www.politifact.com/factchecks/2021/mar/23/facebook-posts/no-judge-has-not-ruled-dominion-voting-machines-we/,False,1
20722,false,Jon Runyan,"Says ""as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it.""",5/4/2012,news,Bill Wichert,5/20/2012,https://www.politifact.com/factchecks/2012/may/20/jon-runyan/rep-jon-runyan-claims-medicare-will-be-gone-eight-/,No verdict,1
9841,pants-fire,Hillary Clinton,"Obama ""basically threatened to bomb Pakistan.""",2/26/2008,speech,Bill Adair,2/27/2008,https://www.politifact.com/factchecks/2008/feb/27/hillary-clinton/et-tu-clinton/,false,1
12561,false,Kevin Nicholson,"""Over the course of two months, Tony Evers refused to remove (Curtis Schmitt Jr.) from the (state’s veterans) Board despite having the authority to do (so).""",3/28/2022,email,Madeline Heim,4/8/2022,https://www.politifact.com/factchecks/2022/apr/08/kevin-nicholson/no-evers-didnt-refuse-remove-vets-board-chair-who-/,No verdict,1
18784,false,Facebook posts,"""OSHA says masks don't work"" to reduce COVID-19 transmission ""and violate OSHA oxygen levels.""",6/18/2020,social_media,Tom Kertscher,6/25/2020,https://www.politifact.com/factchecks/2020/jun/25/facebook-posts/no-osha-does-not-say-masks-dont-work-against-covid/,false,1
13749,pants-fire,Facebook posts,"Says ""combined doses of vaccines"" have never been tested.",4/15/2019,social_media,Samantha Putterman,4/22/2019,https://www.politifact.com/factchecks/2019/apr/22/facebook-posts/no-anti-vaccination-meme-way-vaccine-testing/,False,1
4115,mostly-false,Donald Trump,"""In 2009, pre-Hillary, ISIS was not even on the map.""",7/21/2016,speech,Amy Sherman,7/21/2016,https://www.politifact.com/factchecks/2016/jul/22/donald-trump/donald-trump-says-hillary-clinton-was-secretary-is/,true,1
1113,pants-fire,Reaganwasright,"""Soros, Obama and the Dems Ordered the Shutdown to Stage a Coup""",1/22/2018,blog,Mica Soellner,1/22/2018,https://www.politifact.com/factchecks/2018/jan/22/reaganwasright/fake-news-claims-obama-coup-behind-government-shut/,False,2
1054,mostly-true,Facebook posts,"Says researchers found a ""fabric that kills coronaviruses""",5/21/2020,social_media,Eric Litke,5/29/2020,https://www.politifact.com/factchecks/2020/may/30/facebook-posts/research-fabric-can-neutralize-coronavirus-masks/,No verdict,1
12571,false,Mark Pocan,"""There is no legal basis"" for Donald Trump's ""missile strike against Syrian military assets.""",4/7/2017,statement,Tom Kertscher,4/7/2017,https://www.politifact.com/factchecks/2017/apr/07/mark-pocan/mark-pocan-wrongly-claims-donald-trump-had-no-lega/,no verdict,1
11791,true,Tim Kaine,"""Richard Nixon released tax returns when he was under audit.""",10/4/2016,speech,Sean Gorman,10/5/2016,https://www.politifact.com/factchecks/2016/oct/05/tim-kaine/tim-kaine-correctly-notes-richard-nixon-released-t/,True,1
11787,pants-fire,Snoopack.com,"""Trey Gowdy is the new director of the FBI!""",6/23/2017,news,Joshua Gillin,6/28/2017,https://www.politifact.com/factchecks/2017/jun/28/snoopackcom/website-puts-fake-headline-old-post-supporting-tre/,False,1
16494,false,Facebook posts,"Former slave Nancy Green, the first Aunt Jemima model, died ""as one of America’s first black millionaires.""",6/17/2020,social_media,Tom Kertscher,6/22/2020,https://www.politifact.com/factchecks/2020/jun/22/facebook-posts/theres-no-proof-aunt-jemima-was-millionaire/,false,
1421,false,Rick Scott,"""Before this (federal health care) law was enacted, Florida parents ... were able to purchase inexpensive 'child-only' coverage for their children. The law’s 'consumer protections' have now eliminated that choice in Florida.""",3/23/2011,news,Laura Figueroa,3/31/2011,https://www.politifact.com/factchecks/2011/mar/31/rick-scott/scott-says-new-federal-health-care-act-eliminated-/,false,1
12870,false,Joy Behar,"""(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know that Trump closed 37 of them?""",3/9/2020,television,Bill McCarthy,3/12/2020,https://www.politifact.com/factchecks/2020/mar/12/joy-behar/view-co-host-wrongly-says-trump-shut-down-37-globa/,true,1
5041,mostly-false,Rick Santorum,"Florida's economy ""became a bad economy ... because of a huge spike in oil prices in the summer of 2008.""",1/23/2012,speech,Becky Bowers,1/24/2012,https://www.politifact.com/factchecks/2012/jan/24/rick-santorum/rick-santorum-says-2008-spike-oil-prices-caused-fl/,False,
16206,half-true,John Kerry,"On U.S.-Israeli relations, Prime Minister Benjamin Netanyahu ""set the record straight — he said, our two countries have 'exactly the same policy' (and) 'our security cooperation is unprecedented.'""",9/6/2012,speech,Amy Sherman,9/13/2012,https://www.politifact.com/factchecks/2012/sep/13/john-kerry/john-kerry-says-netanyahu-praised-us-israel-relati/,No verdict,1
7967,true,George Allen,"Tim Kaine, as governor, proposed tax increases on people earning ""as little as $17,000.""",7/21/2012,speech,Sean Gorman,8/3/2012,https://www.politifact.com/factchecks/2012/aug/03/george-allen/george-allen-says-tim-kaine-tried-raise-taxes-peop/,True,1
